ID,Topic,Difficulty,Question,Code,Option A,Option B,Option C,Option D,Correct Option,Explanation
sys-4k-0011,Distributed Consistency & Transactions,hard,Why is the Transactional Outbox pattern with Debezium CDC preferred over directly publishing to Kafka inside the service method?,"// Service receives HTTP POST /checkout:
BEGIN TRANSACTION;
  INSERT INTO orders (id, amount) VALUES ('ord-3803', 4);
  INSERT INTO outbox_events (id, aggregate_type, payload) VALUES ('evt-3803', 'ORDER', '{...}');
COMMIT;
// Debezium CDC tails Postgres WAL -> Publishes to Kafka topic 'orders.events'",PostgreSQL WAL logs run in memory and do not write to disk.,Debezium compresses JSON payloads using GZIP hardware acceleration.,It eliminates dual-write partial failure anomalies by committing data and event atomically in a single local database transaction.,Kafka cannot accept messages directly from Spring Boot REST controllers.,C,"Dual writes to DB and Kafka cannot be coordinated atomically without 2PC. If the DB commits but Kafka publishing fails (or network drops), state is permanently inconsistent. The Outbox pattern makes DB the single atomic commit point; CDC guarantees at-least-once streaming to Kafka."
sys-4k-0012,Distributed Consistency & Transactions,medium,"In an at-least-once message delivery pipeline, how does a unique database index on `message_id` guarantee exactly-once processing semantics?","// Kafka Consumer receives message:
// Headers: X-Idempotency-Key = 'msg-uuid-7198'
INSERT INTO processed_messages (message_id, processed_at) VALUES ('msg-uuid-7198', NOW());
// If DuplicateKeyException -> ACK message and return early",PostgreSQL locks the entire database table during duplicate inserts.,The consumer thread is terminated and restarted with fresh offset.,"Duplicate deliveries encounter a unique constraint violation on the idempotency key, allowing the consumer to safely ignore duplicate execution.",Kafka brokers automatically delete duplicate messages before sending to consumers.,C,"At-least-once brokers (Kafka, RabbitMQ) can redeliver messages upon network timeouts or rebalances. Storing the idempotency key atomically with business updates guarantees idempotent execution and prevents duplicate charges/orders."
sys-4k-0013,High-Throughput Ingestion & Caching,hard,"Why does the consumer group enter an infinite rebalance storm, halting message consumption?","// Topic: orders-stream (12 partitions)
// Consumer Group: order-workers (12 instances)
// Config: max.poll.interval.ms = 30000 (30s), max.poll.records = 500
// Heavy batch processing takes 45 seconds per poll()","The consumer took longer than `max.poll.interval.ms` (45s > 30s) to call `poll()`, causing the coordinator to assume it died and trigger a rebalance.","ZooKeeper terminates consumer sessions after 10,000 messages.",Kafka brokers run out of memory when max.poll.records is set to 500.,Consumers cannot process messages concurrently on 12 partitions.,A,"If message batch processing exceeds `max.poll.interval.ms`, the Kafka coordinator considers the consumer dead, removes it from the group, and triggers a rebalance. Solution: decrease `max.poll.records` or increase `max.poll.interval.ms`."
sys-4k-0014,High-Throughput Ingestion & Caching,hard,How does the XFetch probabilistic early recomputation algorithm completely eliminate cache stampedes (thundering herds)?,"// Redis Key: product:9565
// Algorithm: XFetch (Probabilistic Early Expiration)
// delta = computation_time, beta = 1.0
boolean shouldRecompute = (currentTime - delta * beta * Math.log(Math.random())) > expiryTime;",It holds all HTTP requests in an OS semaphore queue until cache warms up.,It forces the database to write directly to CPU L2 cache.,"It calculates a probabilistic early refresh before expiration: as TTL nears zero, the probability of a background refresh approaches 100%, without locking.",It stores 5 duplicate copies of the product in separate Redis cluster nodes.,C,"XFetch probabilistically triggers a single early refresh as the TTL approaches expiration. This ensures the cache key is refreshed in the background before it expires, preventing thousands of simultaneous DB queries."
sys-4k-0015,Storage Engines & Performance,hard,What is the root cause of this performance degradation in PostgreSQL and what is the fix?,"// High-frequency UPDATE table 'inventory_stock' (10,000 updates/sec)
// SELECT query latency degrades from 2ms to 450ms over 24 hours
// Table size grows from 50MB to 12GB without row count increase","PostgreSQL B-Tree indexes convert to Hash indexes after 100,000 updates.",The Linux OS ext4 file system ran out of directory inodes.,PostgreSQL MVCC writes a new dead tuple version for every UPDATE; slow autovacuum tuning creates table and index bloat. Tune autovacuum_vacuum_scale_factor and fillfactor.,PostgreSQL buffer pool cache memory was cleared by the OS kernel.,C,"Postgres implements MVCC using append-only tuple versioning: an UPDATE inserts a new row and marks the old row dead. If Autovacuum is too slow, dead tuples accumulate, bloating heap pages and index B-trees. Solution: tune autovacuum vacuum thresholds and table fillfactor."
sys-4k-0016,Distributed Consistency & Transactions,hard,Why is the Transactional Outbox pattern with Debezium CDC preferred over directly publishing to Kafka inside the service method?,"// Service receives HTTP POST /checkout:
BEGIN TRANSACTION;
  INSERT INTO orders (id, amount) VALUES ('ord-9475', 27);
  INSERT INTO outbox_events (id, aggregate_type, payload) VALUES ('evt-9475', 'ORDER', '{...}');
COMMIT;
// Debezium CDC tails Postgres WAL -> Publishes to Kafka topic 'orders.events'",It eliminates dual-write partial failure anomalies by committing data and event atomically in a single local database transaction.,Debezium compresses JSON payloads using GZIP hardware acceleration.,Kafka cannot accept messages directly from Spring Boot REST controllers.,PostgreSQL WAL logs run in memory and do not write to disk.,A,"Dual writes to DB and Kafka cannot be coordinated atomically without 2PC. If the DB commits but Kafka publishing fails (or network drops), state is permanently inconsistent. The Outbox pattern makes DB the single atomic commit point; CDC guarantees at-least-once streaming to Kafka."
sys-4k-0017,Distributed Consistency & Transactions,hard,"In an at-least-once message delivery pipeline, how does a unique database index on `message_id` guarantee exactly-once processing semantics?","// Kafka Consumer receives message:
// Headers: X-Idempotency-Key = 'msg-uuid-4751'
INSERT INTO processed_messages (message_id, processed_at) VALUES ('msg-uuid-4751', NOW());
// If DuplicateKeyException -> ACK message and return early",The consumer thread is terminated and restarted with fresh offset.,PostgreSQL locks the entire database table during duplicate inserts.,"Duplicate deliveries encounter a unique constraint violation on the idempotency key, allowing the consumer to safely ignore duplicate execution.",Kafka brokers automatically delete duplicate messages before sending to consumers.,C,"At-least-once brokers (Kafka, RabbitMQ) can redeliver messages upon network timeouts or rebalances. Storing the idempotency key atomically with business updates guarantees idempotent execution and prevents duplicate charges/orders."
sys-4k-0018,High-Throughput Ingestion & Caching,hard,"Why does the consumer group enter an infinite rebalance storm, halting message consumption?","// Topic: orders-stream (12 partitions)
// Consumer Group: order-workers (12 instances)
// Config: max.poll.interval.ms = 30000 (30s), max.poll.records = 500
// Heavy batch processing takes 45 seconds per poll()",Kafka brokers run out of memory when max.poll.records is set to 500.,Consumers cannot process messages concurrently on 12 partitions.,"ZooKeeper terminates consumer sessions after 10,000 messages.","The consumer took longer than `max.poll.interval.ms` (45s > 30s) to call `poll()`, causing the coordinator to assume it died and trigger a rebalance.",D,"If message batch processing exceeds `max.poll.interval.ms`, the Kafka coordinator considers the consumer dead, removes it from the group, and triggers a rebalance. Solution: decrease `max.poll.records` or increase `max.poll.interval.ms`."
sys-4k-0019,High-Throughput Ingestion & Caching,hard,How does the XFetch probabilistic early recomputation algorithm completely eliminate cache stampedes (thundering herds)?,"// Redis Key: product:7697
// Algorithm: XFetch (Probabilistic Early Expiration)
// delta = computation_time, beta = 1.0
boolean shouldRecompute = (currentTime - delta * beta * Math.log(Math.random())) > expiryTime;",It forces the database to write directly to CPU L2 cache.,"It calculates a probabilistic early refresh before expiration: as TTL nears zero, the probability of a background refresh approaches 100%, without locking.",It stores 5 duplicate copies of the product in separate Redis cluster nodes.,It holds all HTTP requests in an OS semaphore queue until cache warms up.,B,"XFetch probabilistically triggers a single early refresh as the TTL approaches expiration. This ensures the cache key is refreshed in the background before it expires, preventing thousands of simultaneous DB queries."
sys-4k-0020,Storage Engines & Performance,hard,What is the root cause of this performance degradation in PostgreSQL and what is the fix?,"// High-frequency UPDATE table 'inventory_stock' (10,000 updates/sec)
// SELECT query latency degrades from 2ms to 450ms over 24 hours
// Table size grows from 50MB to 12GB without row count increase",PostgreSQL buffer pool cache memory was cleared by the OS kernel.,PostgreSQL MVCC writes a new dead tuple version for every UPDATE; slow autovacuum tuning creates table and index bloat. Tune autovacuum_vacuum_scale_factor and fillfactor.,The Linux OS ext4 file system ran out of directory inodes.,"PostgreSQL B-Tree indexes convert to Hash indexes after 100,000 updates.",B,"Postgres implements MVCC using append-only tuple versioning: an UPDATE inserts a new row and marks the old row dead. If Autovacuum is too slow, dead tuples accumulate, bloating heap pages and index B-trees. Solution: tune autovacuum vacuum thresholds and table fillfactor."
sys-4k-0021,Distributed Consistency & Transactions,hard,Why is the Transactional Outbox pattern with Debezium CDC preferred over directly publishing to Kafka inside the service method?,"// Service receives HTTP POST /checkout:
BEGIN TRANSACTION;
  INSERT INTO orders (id, amount) VALUES ('ord-482', 41);
  INSERT INTO outbox_events (id, aggregate_type, payload) VALUES ('evt-482', 'ORDER', '{...}');
COMMIT;
// Debezium CDC tails Postgres WAL -> Publishes to Kafka topic 'orders.events'",It eliminates dual-write partial failure anomalies by committing data and event atomically in a single local database transaction.,Kafka cannot accept messages directly from Spring Boot REST controllers.,Debezium compresses JSON payloads using GZIP hardware acceleration.,PostgreSQL WAL logs run in memory and do not write to disk.,A,"Dual writes to DB and Kafka cannot be coordinated atomically without 2PC. If the DB commits but Kafka publishing fails (or network drops), state is permanently inconsistent. The Outbox pattern makes DB the single atomic commit point; CDC guarantees at-least-once streaming to Kafka."
sys-4k-0022,Distributed Consistency & Transactions,hard,"In an at-least-once message delivery pipeline, how does a unique database index on `message_id` guarantee exactly-once processing semantics?","// Kafka Consumer receives message:
// Headers: X-Idempotency-Key = 'msg-uuid-7962'
INSERT INTO processed_messages (message_id, processed_at) VALUES ('msg-uuid-7962', NOW());
// If DuplicateKeyException -> ACK message and return early",Kafka brokers automatically delete duplicate messages before sending to consumers.,The consumer thread is terminated and restarted with fresh offset.,"Duplicate deliveries encounter a unique constraint violation on the idempotency key, allowing the consumer to safely ignore duplicate execution.",PostgreSQL locks the entire database table during duplicate inserts.,C,"At-least-once brokers (Kafka, RabbitMQ) can redeliver messages upon network timeouts or rebalances. Storing the idempotency key atomically with business updates guarantees idempotent execution and prevents duplicate charges/orders."
sys-4k-0023,High-Throughput Ingestion & Caching,medium,"Why does the consumer group enter an infinite rebalance storm, halting message consumption?","// Topic: orders-stream (12 partitions)
// Consumer Group: order-workers (12 instances)
// Config: max.poll.interval.ms = 30000 (30s), max.poll.records = 500
// Heavy batch processing takes 45 seconds per poll()",Kafka brokers run out of memory when max.poll.records is set to 500.,Consumers cannot process messages concurrently on 12 partitions.,"The consumer took longer than `max.poll.interval.ms` (45s > 30s) to call `poll()`, causing the coordinator to assume it died and trigger a rebalance.","ZooKeeper terminates consumer sessions after 10,000 messages.",C,"If message batch processing exceeds `max.poll.interval.ms`, the Kafka coordinator considers the consumer dead, removes it from the group, and triggers a rebalance. Solution: decrease `max.poll.records` or increase `max.poll.interval.ms`."
sys-4k-0024,High-Throughput Ingestion & Caching,hard,How does the XFetch probabilistic early recomputation algorithm completely eliminate cache stampedes (thundering herds)?,"// Redis Key: product:8483
// Algorithm: XFetch (Probabilistic Early Expiration)
// delta = computation_time, beta = 1.0
boolean shouldRecompute = (currentTime - delta * beta * Math.log(Math.random())) > expiryTime;",It forces the database to write directly to CPU L2 cache.,It holds all HTTP requests in an OS semaphore queue until cache warms up.,"It calculates a probabilistic early refresh before expiration: as TTL nears zero, the probability of a background refresh approaches 100%, without locking.",It stores 5 duplicate copies of the product in separate Redis cluster nodes.,C,"XFetch probabilistically triggers a single early refresh as the TTL approaches expiration. This ensures the cache key is refreshed in the background before it expires, preventing thousands of simultaneous DB queries."
sys-4k-0025,Storage Engines & Performance,hard,What is the root cause of this performance degradation in PostgreSQL and what is the fix?,"// High-frequency UPDATE table 'inventory_stock' (10,000 updates/sec)
// SELECT query latency degrades from 2ms to 450ms over 24 hours
// Table size grows from 50MB to 12GB without row count increase","PostgreSQL B-Tree indexes convert to Hash indexes after 100,000 updates.",The Linux OS ext4 file system ran out of directory inodes.,PostgreSQL MVCC writes a new dead tuple version for every UPDATE; slow autovacuum tuning creates table and index bloat. Tune autovacuum_vacuum_scale_factor and fillfactor.,PostgreSQL buffer pool cache memory was cleared by the OS kernel.,C,"Postgres implements MVCC using append-only tuple versioning: an UPDATE inserts a new row and marks the old row dead. If Autovacuum is too slow, dead tuples accumulate, bloating heap pages and index B-trees. Solution: tune autovacuum vacuum thresholds and table fillfactor."
sys-4k-0026,Distributed Consistency & Transactions,medium,Why is the Transactional Outbox pattern with Debezium CDC preferred over directly publishing to Kafka inside the service method?,"// Service receives HTTP POST /checkout:
BEGIN TRANSACTION;
  INSERT INTO orders (id, amount) VALUES ('ord-9816', 37);
  INSERT INTO outbox_events (id, aggregate_type, payload) VALUES ('evt-9816', 'ORDER', '{...}');
COMMIT;
// Debezium CDC tails Postgres WAL -> Publishes to Kafka topic 'orders.events'",PostgreSQL WAL logs run in memory and do not write to disk.,It eliminates dual-write partial failure anomalies by committing data and event atomically in a single local database transaction.,Kafka cannot accept messages directly from Spring Boot REST controllers.,Debezium compresses JSON payloads using GZIP hardware acceleration.,B,"Dual writes to DB and Kafka cannot be coordinated atomically without 2PC. If the DB commits but Kafka publishing fails (or network drops), state is permanently inconsistent. The Outbox pattern makes DB the single atomic commit point; CDC guarantees at-least-once streaming to Kafka."
sys-4k-0027,Distributed Consistency & Transactions,medium,"In an at-least-once message delivery pipeline, how does a unique database index on `message_id` guarantee exactly-once processing semantics?","// Kafka Consumer receives message:
// Headers: X-Idempotency-Key = 'msg-uuid-9000'
INSERT INTO processed_messages (message_id, processed_at) VALUES ('msg-uuid-9000', NOW());
// If DuplicateKeyException -> ACK message and return early","Duplicate deliveries encounter a unique constraint violation on the idempotency key, allowing the consumer to safely ignore duplicate execution.",PostgreSQL locks the entire database table during duplicate inserts.,Kafka brokers automatically delete duplicate messages before sending to consumers.,The consumer thread is terminated and restarted with fresh offset.,A,"At-least-once brokers (Kafka, RabbitMQ) can redeliver messages upon network timeouts or rebalances. Storing the idempotency key atomically with business updates guarantees idempotent execution and prevents duplicate charges/orders."
sys-4k-0028,High-Throughput Ingestion & Caching,hard,"Why does the consumer group enter an infinite rebalance storm, halting message consumption?","// Topic: orders-stream (12 partitions)
// Consumer Group: order-workers (12 instances)
// Config: max.poll.interval.ms = 30000 (30s), max.poll.records = 500
// Heavy batch processing takes 45 seconds per poll()",Consumers cannot process messages concurrently on 12 partitions.,Kafka brokers run out of memory when max.poll.records is set to 500.,"The consumer took longer than `max.poll.interval.ms` (45s > 30s) to call `poll()`, causing the coordinator to assume it died and trigger a rebalance.","ZooKeeper terminates consumer sessions after 10,000 messages.",C,"If message batch processing exceeds `max.poll.interval.ms`, the Kafka coordinator considers the consumer dead, removes it from the group, and triggers a rebalance. Solution: decrease `max.poll.records` or increase `max.poll.interval.ms`."
sys-4k-0029,High-Throughput Ingestion & Caching,medium,How does the XFetch probabilistic early recomputation algorithm completely eliminate cache stampedes (thundering herds)?,"// Redis Key: product:9003
// Algorithm: XFetch (Probabilistic Early Expiration)
// delta = computation_time, beta = 1.0
boolean shouldRecompute = (currentTime - delta * beta * Math.log(Math.random())) > expiryTime;",It stores 5 duplicate copies of the product in separate Redis cluster nodes.,It holds all HTTP requests in an OS semaphore queue until cache warms up.,It forces the database to write directly to CPU L2 cache.,"It calculates a probabilistic early refresh before expiration: as TTL nears zero, the probability of a background refresh approaches 100%, without locking.",D,"XFetch probabilistically triggers a single early refresh as the TTL approaches expiration. This ensures the cache key is refreshed in the background before it expires, preventing thousands of simultaneous DB queries."
sys-4k-0030,Storage Engines & Performance,hard,What is the root cause of this performance degradation in PostgreSQL and what is the fix?,"// High-frequency UPDATE table 'inventory_stock' (10,000 updates/sec)
// SELECT query latency degrades from 2ms to 450ms over 24 hours
// Table size grows from 50MB to 12GB without row count increase","PostgreSQL B-Tree indexes convert to Hash indexes after 100,000 updates.",PostgreSQL buffer pool cache memory was cleared by the OS kernel.,PostgreSQL MVCC writes a new dead tuple version for every UPDATE; slow autovacuum tuning creates table and index bloat. Tune autovacuum_vacuum_scale_factor and fillfactor.,The Linux OS ext4 file system ran out of directory inodes.,C,"Postgres implements MVCC using append-only tuple versioning: an UPDATE inserts a new row and marks the old row dead. If Autovacuum is too slow, dead tuples accumulate, bloating heap pages and index B-trees. Solution: tune autovacuum vacuum thresholds and table fillfactor."
sys-4k-0031,Distributed Consistency & Transactions,medium,Why is the Transactional Outbox pattern with Debezium CDC preferred over directly publishing to Kafka inside the service method?,"// Service receives HTTP POST /checkout:
BEGIN TRANSACTION;
  INSERT INTO orders (id, amount) VALUES ('ord-5620', 49);
  INSERT INTO outbox_events (id, aggregate_type, payload) VALUES ('evt-5620', 'ORDER', '{...}');
COMMIT;
// Debezium CDC tails Postgres WAL -> Publishes to Kafka topic 'orders.events'",PostgreSQL WAL logs run in memory and do not write to disk.,It eliminates dual-write partial failure anomalies by committing data and event atomically in a single local database transaction.,Debezium compresses JSON payloads using GZIP hardware acceleration.,Kafka cannot accept messages directly from Spring Boot REST controllers.,B,"Dual writes to DB and Kafka cannot be coordinated atomically without 2PC. If the DB commits but Kafka publishing fails (or network drops), state is permanently inconsistent. The Outbox pattern makes DB the single atomic commit point; CDC guarantees at-least-once streaming to Kafka."
sys-4k-0032,Distributed Consistency & Transactions,hard,"In an at-least-once message delivery pipeline, how does a unique database index on `message_id` guarantee exactly-once processing semantics?","// Kafka Consumer receives message:
// Headers: X-Idempotency-Key = 'msg-uuid-1494'
INSERT INTO processed_messages (message_id, processed_at) VALUES ('msg-uuid-1494', NOW());
// If DuplicateKeyException -> ACK message and return early","Duplicate deliveries encounter a unique constraint violation on the idempotency key, allowing the consumer to safely ignore duplicate execution.",The consumer thread is terminated and restarted with fresh offset.,PostgreSQL locks the entire database table during duplicate inserts.,Kafka brokers automatically delete duplicate messages before sending to consumers.,A,"At-least-once brokers (Kafka, RabbitMQ) can redeliver messages upon network timeouts or rebalances. Storing the idempotency key atomically with business updates guarantees idempotent execution and prevents duplicate charges/orders."
sys-4k-0033,High-Throughput Ingestion & Caching,medium,"Why does the consumer group enter an infinite rebalance storm, halting message consumption?","// Topic: orders-stream (12 partitions)
// Consumer Group: order-workers (12 instances)
// Config: max.poll.interval.ms = 30000 (30s), max.poll.records = 500
// Heavy batch processing takes 45 seconds per poll()","ZooKeeper terminates consumer sessions after 10,000 messages.",Consumers cannot process messages concurrently on 12 partitions.,Kafka brokers run out of memory when max.poll.records is set to 500.,"The consumer took longer than `max.poll.interval.ms` (45s > 30s) to call `poll()`, causing the coordinator to assume it died and trigger a rebalance.",D,"If message batch processing exceeds `max.poll.interval.ms`, the Kafka coordinator considers the consumer dead, removes it from the group, and triggers a rebalance. Solution: decrease `max.poll.records` or increase `max.poll.interval.ms`."
sys-4k-0034,High-Throughput Ingestion & Caching,hard,How does the XFetch probabilistic early recomputation algorithm completely eliminate cache stampedes (thundering herds)?,"// Redis Key: product:1861
// Algorithm: XFetch (Probabilistic Early Expiration)
// delta = computation_time, beta = 1.0
boolean shouldRecompute = (currentTime - delta * beta * Math.log(Math.random())) > expiryTime;","It calculates a probabilistic early refresh before expiration: as TTL nears zero, the probability of a background refresh approaches 100%, without locking.",It holds all HTTP requests in an OS semaphore queue until cache warms up.,It stores 5 duplicate copies of the product in separate Redis cluster nodes.,It forces the database to write directly to CPU L2 cache.,A,"XFetch probabilistically triggers a single early refresh as the TTL approaches expiration. This ensures the cache key is refreshed in the background before it expires, preventing thousands of simultaneous DB queries."
